task_id,category,hardware,model,backend,run_index,raw_output,latency_s,input_tokens,output_tokens,tokens_per_second,peak_memory_mb,peak_memory_allocated_mb,peak_memory_reserved_mb,error,groq_server_tokens_per_second,groq_response_id,timestamp,correct,score_reason,parsed_calls,gold_calls,failure_type
simple_361,simple,Cerebras_WSE,llama3.1-8b,cerebras_api,0,"<tool_call>
{""name"": ""restaurant_finder"", ""arguments"": {""city"": ""New York"", ""cuisine"": ""Italian"", ""diet"": ""Gluten-free""}}
</tool_call>",0.30102204205468297,296,41,136.20265054394932,,,,,,,2026-04-30T21:50:15.845799+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""restaurant_finder"", ""arguments"": {""city"": ""New York"", ""cuisine"": ""Italian"", ""diet"": ""Gluten-free""}}]","[{""name"": ""restaurant_finder"", ""arguments"": {""city"": [""New York City"", ""New York City, NY"", ""NYC"", ""New York""], ""cuisine"": [""Italian""], ""diet"": [""Gluten-free""]}}]",correct
simple_113,simple,Cerebras_WSE,llama3.1-8b,cerebras_api,0,"<tool_call>
{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": 6, ""number_of_rolls"": 2, ""die_sides"": 6}}
</tool_call>",0.15705475001595914,308,45,286.52428529176814,,,,,,,2026-04-30T21:50:17.152366+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": 6, ""number_of_rolls"": 2, ""die_sides"": 6}}]","[{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": [6], ""number_of_rolls"": [2], ""die_sides"": [6, """"]}}]",correct
simple_135,simple,Cerebras_WSE,llama3.1-8b,cerebras_api,0,"<tool_call>
{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": 20, ""sale_price"": 25, ""dividend"": 2}}
</tool_call>",0.366244541015476,306,43,117.40789331842355,,,,,,,2026-04-30T21:50:18.316729+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": 20, ""sale_price"": 25, ""dividend"": 2}}]","[{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": [20], ""sale_price"": [25], ""dividend"": [2]}}]",correct
simple_1,simple,Cerebras_WSE,llama3.1-8b,cerebras_api,0,"<tool_call>
{""name"": ""math.factorial"", ""arguments"": {""number"": ""5""}}
</tool_call>",0.24853883299510926,207,26,104.61141901519923,,,,,,,2026-04-30T21:50:19.696762+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""math.factorial"", ""arguments"": {""number"": ""5""}}]","[{""name"": ""math.factorial"", ""arguments"": {""number"": [5]}}]",correct
simple_123,simple,Cerebras_WSE,llama3.1-8b,cerebras_api,0,"<tool_call>
{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": ""[12.4, 15.6, 11.2, 18.9]"", ""group2"": ""[10.5, 9.8, 15.2, 13.8]"", ""alpha"": ""0.05""}}
</tool_call>",0.2659605420194566,389,81,304.55645557405416,,,,,,,2026-04-30T21:50:20.953028+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": ""[12.4, 15.6, 11.2, 18.9]"", ""group2"": ""[10.5, 9.8, 15.2, 13.8]"", ""alpha"": ""0.05""}}]","[{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": [[12.4, 15.6, 11.2, 18.9]], ""group2"": [[10.5, 9.8, 15.2, 13.8]], ""alpha"": [0.05, """"]}}]",correct
simple_36,simple,Cerebras_WSE,llama3.1-8b,cerebras_api,0,"<tool_call>
{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": ""New York City"", ""destination"": ""Washington D.C."", ""unit"": ""km""}}
</tool_call>",0.2643609589431435,292,45,170.22180650236717,,,,,,,2026-04-30T21:50:22.225617+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": ""New York City"", ""destination"": ""Washington D.C."", ""unit"": ""km""}}]","[{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": [""New York City""], ""destination"": [""Washington D.C.""], ""unit"": [""km"", """"]}}]",correct
simple_353,simple,Cerebras_WSE,llama3.1-8b,cerebras_api,0,"<tool_call>
{""name"": ""find_recipes"", ""arguments"": {""diet"": ""gluten-free"", ""meal_type"": ""dinner""}}
</tool_call>",0.21510324999690056,310,36,167.3614880319973,,,,,,,2026-04-30T21:50:23.497026+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""find_recipes"", ""arguments"": {""diet"": ""gluten-free"", ""meal_type"": ""dinner""}}]","[{""name"": ""find_recipes"", ""arguments"": {""diet"": [""gluten-free""], ""meal_type"": [""dinner""], ""ingredients"": [""""]}}]",correct
simple_137,simple,Cerebras_WSE,llama3.1-8b,cerebras_api,0,"<tool_call>
{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": 5000, ""annual_growth_rate"": 0.06, ""holding_period"": 5}}
</tool_call>",0.24756454105954617,355,45,181.7707810957315,,,,,,,2026-04-30T21:50:24.717175+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": 5000, ""annual_growth_rate"": 0.06, ""holding_period"": 5}}]","[{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": [5000], ""annual_growth_rate"": [0.06], ""holding_period"": [5], ""dividends"": ["""", false]}}]",correct
simple_200,simple,Cerebras_WSE,llama3.1-8b,cerebras_api,0,"<tool_call>
{""name"": ""calculate_emissions"", ""arguments"": {""distance"": 12000, ""fuel_type"": ""gasoline"", ""fuel_efficiency"": 25}}
</tool_call>",0.16833062504883856,352,43,255.44965443765332,,,,,,,2026-04-30T21:50:25.970438+00:00,False,"argument_mismatch: Argument mismatch for 'fuel_type': predicted gasoline, gold ['gas'].","[{""name"": ""calculate_emissions"", ""arguments"": {""distance"": 12000, ""fuel_type"": ""gasoline"", ""fuel_efficiency"": 25}}]","[{""name"": ""calculate_emissions"", ""arguments"": {""distance"": [12000], ""fuel_type"": [""gas""], ""fuel_efficiency"": ["""", 25.0], ""efficiency_reduction"": [0, """"]}}]",argument_mismatch
simple_179,simple,Cerebras_WSE,llama3.1-8b,cerebras_api,0,"<tool_call>
{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": ""Apple"", ""company2"": ""Samsung"", ""country"": ""USA""}}
</tool_call>",0.3431412499630824,280,42,122.39857494404612,,,,,,,2026-04-30T21:50:27.143359+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": ""Apple"", ""company2"": ""Samsung"", ""country"": ""USA""}}]","[{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": [""Apple""], ""company2"": [""Samsung""], ""country"": [""USA"", """"]}}]",correct
