task_id,category,hardware,model,backend,run_index,raw_output,latency_s,input_tokens,output_tokens,tokens_per_second,peak_memory_mb,peak_memory_allocated_mb,peak_memory_reserved_mb,error,groq_server_tokens_per_second,groq_response_id,timestamp,correct,score_reason,parsed_calls,gold_calls,failure_type
simple_361,simple,Groq_LPU_Llama,llama-3.1-8b-instant,groq_prompt_api,0,"<tool_call>
{""name"": ""restaurant_finder"", ""arguments"": {""city"": ""New York"", ""cuisine"": ""Italian"", ""diet"": ""Gluten-free""}}
</tool_call>",0.22223537496756762,296,41,184.48908057946858,,,,,,chatcmpl-8600bed4-8422-4da2-b8fb-13f926d7c87d,2026-04-29T22:48:46.691356+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""restaurant_finder"", ""arguments"": {""city"": ""New York"", ""cuisine"": ""Italian"", ""diet"": ""Gluten-free""}}]","[{""name"": ""restaurant_finder"", ""arguments"": {""city"": [""New York City"", ""New York City, NY"", ""NYC"", ""New York""], ""cuisine"": [""Italian""], ""diet"": [""Gluten-free""]}}]",correct
simple_113,simple,Groq_LPU_Llama,llama-3.1-8b-instant,groq_prompt_api,0,"<tool_call>
{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": 6, ""number_of_rolls"": 2, ""die_sides"": 6}}
</tool_call>",0.1900782909942791,308,45,236.7445528082657,,,,,,chatcmpl-358d682d-dbd6-4b14-90c8-61e1cd8021e0,2026-04-29T22:48:48.921080+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": 6, ""number_of_rolls"": 2, ""die_sides"": 6}}]","[{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": [6], ""number_of_rolls"": [2], ""die_sides"": [6, """"]}}]",correct
simple_135,simple,Groq_LPU_Llama,llama-3.1-8b-instant,groq_prompt_api,0,"<tool_call>
{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": 20, ""sale_price"": 25, ""dividend"": 2}}
</tool_call>",0.40456779208034277,306,43,106.28626608877622,,,,,,chatcmpl-7eadab28-ca52-41ac-abaa-bb8afb2c0eae,2026-04-29T22:48:51.116603+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": 20, ""sale_price"": 25, ""dividend"": 2}}]","[{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": [20], ""sale_price"": [25], ""dividend"": [2]}}]",correct
simple_1,simple,Groq_LPU_Llama,llama-3.1-8b-instant,groq_prompt_api,0,"<tool_call>
{""name"": ""math.factorial"", ""arguments"": {""number"": ""5""}}
</tool_call>",0.19750779098831117,207,26,131.6403766651348,,,,,,chatcmpl-630ed0b1-d2e6-4a6e-a4f6-a4eba9b4a333,2026-04-29T22:48:53.530138+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""math.factorial"", ""arguments"": {""number"": ""5""}}]","[{""name"": ""math.factorial"", ""arguments"": {""number"": [5]}}]",correct
simple_123,simple,Groq_LPU_Llama,llama-3.1-8b-instant,groq_prompt_api,0,"<tool_call>
{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": ""[12.4, 15.6, 11.2, 18.9]"", ""group2"": ""[10.5, 9.8, 15.2, 13.8]"", ""alpha"": ""0.05""}}
</tool_call>",0.29689262493047863,389,81,272.82590808366234,,,,,,chatcmpl-60057cea-4b54-4ef1-abbe-b1d92ce103b6,2026-04-29T22:48:55.732214+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": ""[12.4, 15.6, 11.2, 18.9]"", ""group2"": ""[10.5, 9.8, 15.2, 13.8]"", ""alpha"": ""0.05""}}]","[{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": [[12.4, 15.6, 11.2, 18.9]], ""group2"": [[10.5, 9.8, 15.2, 13.8]], ""alpha"": [0.05, """"]}}]",correct
simple_36,simple,Groq_LPU_Llama,llama-3.1-8b-instant,groq_prompt_api,0,"<tool_call>
{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": ""New York City"", ""destination"": ""Washington D.C."", ""unit"": ""km""}}
</tool_call>",0.25104412506334484,292,45,179.2513566634764,,,,,,chatcmpl-07cffd34-cb03-408a-b2df-68537f17a92b,2026-04-29T22:48:58.032621+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": ""New York City"", ""destination"": ""Washington D.C."", ""unit"": ""km""}}]","[{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": [""New York City""], ""destination"": [""Washington D.C.""], ""unit"": [""km"", """"]}}]",correct
simple_353,simple,Groq_LPU_Llama,llama-3.1-8b-instant,groq_prompt_api,0,"<tool_call>
{""name"": ""find_recipes"", ""arguments"": {""diet"": ""gluten-free"", ""meal_type"": ""dinner""}}
</tool_call>",0.19521491695195436,310,36,184.41213695191232,,,,,,chatcmpl-3677c663-45f8-4244-9a90-6e64df054fe0,2026-04-29T22:49:00.290842+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""find_recipes"", ""arguments"": {""diet"": ""gluten-free"", ""meal_type"": ""dinner""}}]","[{""name"": ""find_recipes"", ""arguments"": {""diet"": [""gluten-free""], ""meal_type"": [""dinner""], ""ingredients"": [""""]}}]",correct
simple_137,simple,Groq_LPU_Llama,llama-3.1-8b-instant,groq_prompt_api,0,"<tool_call>
{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": 5000, ""annual_growth_rate"": 0.06, ""holding_period"": 5}}
</tool_call>",0.5161179170245305,355,45,87.189377689946,,,,,,chatcmpl-51c6b1b2-2118-47f8-8af1-e2317ad36d5a,2026-04-29T22:49:02.492543+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": 5000, ""annual_growth_rate"": 0.06, ""holding_period"": 5}}]","[{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": [5000], ""annual_growth_rate"": [0.06], ""holding_period"": [5], ""dividends"": ["""", false]}}]",correct
simple_200,simple,Groq_LPU_Llama,llama-3.1-8b-instant,groq_prompt_api,0,"<tool_call>
{""name"": ""calculate_emissions"", ""arguments"": {""distance"": 12000, ""fuel_type"": ""gasoline"", ""fuel_efficiency"": 25}}
</tool_call>",0.3165427080821246,352,43,135.84264903945908,,,,,,chatcmpl-4a5af1ea-8e28-47cb-baaa-88898523ba11,2026-04-29T22:49:05.014891+00:00,False,"argument_mismatch: Argument mismatch for 'fuel_type': predicted gasoline, gold ['gas'].","[{""name"": ""calculate_emissions"", ""arguments"": {""distance"": 12000, ""fuel_type"": ""gasoline"", ""fuel_efficiency"": 25}}]","[{""name"": ""calculate_emissions"", ""arguments"": {""distance"": [12000], ""fuel_type"": [""gas""], ""fuel_efficiency"": ["""", 25.0], ""efficiency_reduction"": [0, """"]}}]",argument_mismatch
simple_179,simple,Groq_LPU_Llama,llama-3.1-8b-instant,groq_prompt_api,0,"<tool_call>
{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": ""Apple"", ""company2"": ""Samsung"", ""country"": ""USA""}}
</tool_call>",0.1872866250341758,280,42,224.25520237943257,,,,,,chatcmpl-75234f53-bd13-464e-a5dd-1a6c2e92caf9,2026-04-29T22:49:07.338980+00:00,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": ""Apple"", ""company2"": ""Samsung"", ""country"": ""USA""}}]","[{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": [""Apple""], ""company2"": [""Samsung""], ""country"": [""USA"", """"]}}]",correct
