task_id,category,hardware,model,backend,run_index,raw_output,latency_s,input_tokens,output_tokens,tokens_per_second,peak_memory_mb,error,timestamp,correct,score_reason,parsed_calls,gold_calls,failure_type
simple_361,simple,T4,Qwen/Qwen2.5-7B-Instruct,transformers,0,"<tool_call>
{""name"": ""restaurant_finder"", ""arguments"": {""city"": ""New York"", ""cuisine"": ""Italian"", ""diet"": ""Gluten-free""}}
</tool_call>",34.944954185999904,257,36,1.030191649655182,13219.12744140625,,2026-04-28T22:39:19.708422,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""restaurant_finder"", ""arguments"": {""city"": ""New York"", ""cuisine"": ""Italian"", ""diet"": ""Gluten-free""}}]","[{""name"": ""restaurant_finder"", ""arguments"": {""city"": [""New York City"", ""New York City, NY"", ""NYC"", ""New York""], ""cuisine"": [""Italian""], ""diet"": [""Gluten-free""]}}]",correct
simple_113,simple,T4,Qwen/Qwen2.5-7B-Instruct,transformers,0,"<tool_call>
{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": 6, ""number_of_rolls"": 2, ""die_sides"": 6}}
</tool_call>",27.598999557000298,269,40,1.4493278974619308,13220.00244140625,,2026-04-28T22:39:54.665027,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": 6, ""number_of_rolls"": 2, ""die_sides"": 6}}]","[{""name"": ""probability.dice_roll"", ""arguments"": {""desired_number"": [6], ""number_of_rolls"": [2], ""die_sides"": [6, """"]}}]",correct
simple_135,simple,T4,Qwen/Qwen2.5-7B-Instruct,transformers,0,"<tool_call>
{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": 20, ""sale_price"": 25, ""dividend"": 2}}
</tool_call>",27.1285613379996,267,40,1.4744607906638632,13219.89306640625,,2026-04-28T22:40:22.269049,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": 20, ""sale_price"": 25, ""dividend"": 2}}]","[{""name"": ""calculate_return_on_investment"", ""arguments"": {""purchase_price"": [20], ""sale_price"": [25], ""dividend"": [2]}}]",correct
simple_1,simple,T4,Qwen/Qwen2.5-7B-Instruct,transformers,0,"<tool_call>
{""name"": ""math.factorial"", ""arguments"": {""number"": 5}}
</tool_call>",14.107095484000183,179,21,1.488612593840988,13214.03857421875,,2026-04-28T22:40:49.400034,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""math.factorial"", ""arguments"": {""number"": 5}}]","[{""name"": ""math.factorial"", ""arguments"": {""number"": [5]}}]",correct
simple_123,simple,T4,Qwen/Qwen2.5-7B-Instruct,transformers,0,"<tool_call>
{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": [12.4, 15.6, 11.2, 18.9], ""group2"": [10.5, 9.8, 15.2, 13.8], ""alpha"": 0.05}}
</tool_call>",61.86466137799971,349,84,1.357802631242916,13226.78662109375,,2026-04-28T22:41:03.509655,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": [12.4, 15.6, 11.2, 18.9], ""group2"": [10.5, 9.8, 15.2, 13.8], ""alpha"": 0.05}}]","[{""name"": ""hypothesis_testing.two_sample_t_test"", ""arguments"": {""group1"": [[12.4, 15.6, 11.2, 18.9]], ""group2"": [[10.5, 9.8, 15.2, 13.8]], ""alpha"": [0.05, """"]}}]",correct
simple_36,simple,T4,Qwen/Qwen2.5-7B-Instruct,transformers,0,"<tool_call>
{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": ""New York City"", ""destination"": ""Washington D.C.""}}
</tool_call>",23.88904654399994,253,35,1.4651066100748473,13218.85302734375,,2026-04-28T22:42:05.377647,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": ""New York City"", ""destination"": ""Washington D.C.""}}]","[{""name"": ""get_shortest_driving_distance"", ""arguments"": {""origin"": [""New York City""], ""destination"": [""Washington D.C.""], ""unit"": [""km"", """"]}}]",correct
simple_353,simple,T4,Qwen/Qwen2.5-7B-Instruct,transformers,0,"<tool_call>
{""name"": ""find_recipes"", ""arguments"": {""diet"": ""gluten-free"", ""meal_type"": ""dinner""}}
</tool_call>",21.168785629000013,266,31,1.464420328274844,13219.34619140625,,2026-04-28T22:42:29.269306,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""find_recipes"", ""arguments"": {""diet"": ""gluten-free"", ""meal_type"": ""dinner""}}]","[{""name"": ""find_recipes"", ""arguments"": {""diet"": [""gluten-free""], ""meal_type"": [""dinner""], ""ingredients"": [""""]}}]",correct
simple_137,simple,T4,Qwen/Qwen2.5-7B-Instruct,transformers,0,"<tool_call>
{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": 5000, ""annual_growth_rate"": 0.06, ""holding_period"": 5}}
</tool_call>",29.15565857899992,313,43,1.4748423495043879,13222.57373046875,,2026-04-28T22:42:50.440537,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": 5000, ""annual_growth_rate"": 0.06, ""holding_period"": 5}}]","[{""name"": ""calculate_stock_return"", ""arguments"": {""investment_amount"": [5000], ""annual_growth_rate"": [0.06], ""holding_period"": [5], ""dividends"": ["""", false]}}]",correct
simple_200,simple,T4,Qwen/Qwen2.5-7B-Instruct,transformers,0,"<tool_call>
{""name"": ""calculate_emissions"", ""arguments"": {""distance"": 12000, ""fuel_type"": ""gas"", ""fuel_efficiency"": 25}}
</tool_call>",27.889397154000108,311,41,1.4700927299936086,13222.35498046875,,2026-04-28T22:43:19.598899,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""calculate_emissions"", ""arguments"": {""distance"": 12000, ""fuel_type"": ""gas"", ""fuel_efficiency"": 25}}]","[{""name"": ""calculate_emissions"", ""arguments"": {""distance"": [12000], ""fuel_type"": [""gas""], ""fuel_efficiency"": ["""", 25.0], ""efficiency_reduction"": [0, """"]}}]",correct
simple_179,simple,T4,Qwen/Qwen2.5-7B-Instruct,transformers,0,"<tool_call>
{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": ""Apple"", ""company2"": ""Samsung"", ""country"": ""USA""}}
</tool_call>",25.022473225999875,240,37,1.47867077989536,13218.25146484375,,2026-04-28T22:43:47.491096,True,correct: Predicted calls match gold function names and required arguments.,"[{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": ""Apple"", ""company2"": ""Samsung"", ""country"": ""USA""}}]","[{""name"": ""find_latest_court_case"", ""arguments"": {""company1"": [""Apple""], ""company2"": [""Samsung""], ""country"": [""USA"", """"]}}]",correct
